Product,Current Factory,Alt Factory,Is Current,Current LT,Alt LT,LT Reduction,LT Reduction %,Current Margin %,Alt Margin %,Profit Impact %,Confidence,Risk,Current Orders,Score
SweeTARTS,Sugar Shack,Lot's O' Nuts,False,653.5,591.2,62.3,9.5,46.7,69.2,22.5,78.5,Low,10,14.7
SweeTARTS,Sugar Shack,Wicked Choccy's,False,653.5,591.1,62.4,9.6,46.7,65.1,18.5,70.8,Low,10,13.16
Lickable Wallpaper,Secret Factory,Lot's O' Nuts,False,609.1,591.2,17.9,2.9,50.0,69.2,19.2,78.5,Low,94,9.42
Laffy Taffy,Sugar Shack,Lot's O' Nuts,False,653.1,591.2,61.9,9.5,62.3,69.2,6.9,78.5,Low,10,8.46
Lickable Wallpaper,Secret Factory,Wicked Choccy's,False,609.1,591.1,18.1,3.0,50.0,65.1,15.1,70.8,Low,94,7.84
Hair Toffee,The Other Factory,Lot's O' Nuts,False,725.2,591.2,134.0,18.5,77.8,69.2,-8.6,78.5,Medium,4,7.66
SweeTARTS,Sugar Shack,Secret Factory,False,653.5,591.9,61.6,9.4,46.7,51.5,4.9,51.1,Low,10,7.6
Laffy Taffy,Sugar Shack,Wicked Choccy's,False,653.1,591.1,62.0,9.5,62.3,65.1,2.8,70.8,Low,10,6.82
Hair Toffee,The Other Factory,Wicked Choccy's,False,725.2,591.1,134.2,18.5,77.8,65.1,-12.7,70.8,High,4,6.02
Everlasting Gobstopper,Secret Factory,Lot's O' Nuts,False,664.7,591.2,73.4,11.0,80.0,69.2,-10.8,78.5,High,3,2.2799999999999994
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,False,595.7,591.2,4.4,0.7,65.3,69.2,3.8,78.5,Low,2015,1.94
Laffy Taffy,Sugar Shack,Secret Factory,False,653.1,591.9,61.2,9.4,62.3,51.5,-10.8,51.1,High,10,1.3199999999999994
Everlasting Gobstopper,Secret Factory,Wicked Choccy's,False,664.7,591.1,73.6,11.1,80.0,65.1,-14.9,70.8,High,3,0.6999999999999984
Hair Toffee,The Other Factory,Secret Factory,False,725.2,591.9,133.4,18.4,77.8,51.5,-26.3,51.1,High,4,0.5199999999999978
Hair Toffee,The Other Factory,Sugar Shack,False,725.2,610.0,115.2,15.9,77.8,53.2,-24.6,50.2,High,4,-0.3000000000000025
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,False,598.9,591.1,7.8,1.3,71.4,65.1,-6.2,70.8,Medium,1810,-1.7000000000000004
SweeTARTS,Sugar Shack,The Other Factory,False,653.5,550.3,103.2,15.8,46.7,10.5,-36.2,50.5,High,10,-5.000000000000002
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,False,595.7,591.9,3.8,0.6,65.3,51.5,-13.8,51.1,High,2015,-5.16
Everlasting Gobstopper,Secret Factory,Sugar Shack,False,664.7,610.0,54.6,8.2,80.0,53.2,-26.8,50.2,High,3,-5.800000000000002
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,False,598.9,591.9,7.0,1.2,71.4,51.5,-19.8,51.1,High,1810,-7.200000000000001
Lickable Wallpaper,Secret Factory,The Other Factory,False,609.1,550.3,58.9,9.7,50.0,10.5,-39.5,50.5,High,94,-9.98
Laffy Taffy,Sugar Shack,The Other Factory,False,653.1,550.3,102.8,15.7,62.3,10.5,-51.8,50.5,High,10,-11.299999999999999
Wonka Gum,Secret Factory,The Other Factory,False,576.5,550.3,26.2,4.6,52.0,10.5,-41.5,50.5,High,120,-13.840000000000002
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,False,595.7,550.3,45.4,7.6,65.3,10.5,-54.8,50.5,High,2015,-17.360000000000003
Everlasting Gobstopper,Secret Factory,The Other Factory,False,664.7,550.3,114.4,17.2,80.0,10.5,-69.5,50.5,High,3,-17.480000000000004
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,False,586.8,550.3,36.5,6.2,64.9,10.5,-54.4,50.5,High,2137,-18.040000000000003
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,False,584.2,550.3,34.0,5.8,66.7,10.5,-56.2,50.5,High,1818,-19.000000000000004
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,False,598.9,550.3,48.6,8.1,71.4,10.5,-60.9,50.5,High,1810,-19.5
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,False,590.6,550.3,40.4,6.8,69.4,10.5,-59.0,50.5,High,2064,-19.520000000000003
