Product Name,Factory,Avg_Lead_Time,Avg_Profit_Margin,Avg_Sales,Total_Orders
Everlasting Gobstopper,Secret Factory,664.67,80.0,43.33,3
Fizzy Lifting Drinks,Sugar Shack,543.5,60.0,13.12,6
Fun Dip,Sugar Shack,542.67,40.0,4.0,3
Hair Toffee,The Other Factory,725.25,77.78,19.12,4
Kazookles,The Other Factory,542.99,7.69,12.56,96
Laffy Taffy,Sugar Shack,653.1,62.31,5.37,10
Lickable Wallpaper,Secret Factory,609.14,50.0,83.62,94
Nerds,Sugar Shack,544.0,46.67,3.75,4
SweeTARTS,Sugar Shack,653.5,46.67,6.15,10
Wonka Bar - Fudge Mallows,Lot's O' Nuts,584.24,66.67,13.69,1818
Wonka Bar - Milk Chocolate,Wicked Choccy's,586.76,64.92,12.57,2137
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,598.92,71.35,13.02,1810
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,595.66,65.33,14.14,2015
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,590.64,69.44,13.51,2064
Wonka Gum,Secret Factory,576.52,52.0,4.98,120
