Product,Current Factory,Alt Factory,Is Current,Current LT,Alt LT,LT Reduction,LT Reduction %,Current Margin %,Alt Margin %,Profit Impact %,Confidence,Risk,Current Orders,Score
Hair Toffee,The Other Factory,Lot's O' Nuts,False,725.2,591.2,134.0,18.5,77.8,69.2,-8.6,78.5,Medium,4,7.66
Everlasting Gobstopper,Secret Factory,Lot's O' Nuts,False,664.7,591.2,73.4,11.0,80.0,69.2,-10.8,78.5,High,3,2.2799999999999994
Laffy Taffy,Sugar Shack,Lot's O' Nuts,False,653.1,591.2,61.9,9.5,62.3,69.2,6.9,78.5,Low,10,8.46
SweeTARTS,Sugar Shack,Lot's O' Nuts,False,653.5,591.2,62.3,9.5,46.7,69.2,22.5,78.5,Low,10,14.7
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,False,590.6,550.3,40.4,6.8,69.4,10.5,-59.0,50.5,High,2064,-19.520000000000003
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,False,586.8,550.3,36.5,6.2,64.9,10.5,-54.4,50.5,High,2137,-18.040000000000003
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,False,584.2,550.3,34.0,5.8,66.7,10.5,-56.2,50.5,High,1818,-19.000000000000004
Wonka Gum,Secret Factory,The Other Factory,False,576.5,550.3,26.2,4.6,52.0,10.5,-41.5,50.5,High,120,-13.840000000000002
Lickable Wallpaper,Secret Factory,Lot's O' Nuts,False,609.1,591.2,17.9,2.9,50.0,69.2,19.2,78.5,Low,94,9.42
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,False,598.9,591.1,7.8,1.3,71.4,65.1,-6.2,70.8,Medium,1810,-1.7000000000000004
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,False,595.7,591.2,4.4,0.7,65.3,69.2,3.8,78.5,Low,2015,1.94
