Product,Current Factory,Alt Factory,Is Current,Current LT,Alt LT,LT Reduction,LT Reduction %,Current Margin %,Alt Margin %,Profit Impact %,Confidence,Risk,Current Orders
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,False,586.8,591.2,-4.5,-0.8,64.9,69.2,4.2,78.5,Low,2137
Wonka Bar - Milk Chocolate,Wicked Choccy's,Wicked Choccy's,True,586.8,591.1,-4.3,-0.7,64.9,65.1,0.2,70.8,Low,2137
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,False,586.8,610.0,-23.3,-4.0,64.9,53.2,-11.7,50.2,High,2137
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,False,586.8,591.9,-5.1,-0.9,64.9,51.5,-13.4,51.1,High,2137
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,False,586.8,550.3,36.5,6.2,64.9,10.5,-54.4,50.5,High,2137
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,False,595.7,591.2,4.4,0.7,65.3,69.2,3.8,78.5,Low,2015
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Wicked Choccy's,True,595.7,591.1,4.6,0.8,65.3,65.1,-0.2,70.8,Medium,2015
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,False,595.7,610.0,-14.4,-2.4,65.3,53.2,-12.1,50.2,High,2015
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,False,595.7,591.9,3.8,0.6,65.3,51.5,-13.8,51.1,High,2015
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,False,595.7,550.3,45.4,7.6,65.3,10.5,-54.8,50.5,High,2015
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Lot's O' Nuts,True,598.9,591.2,7.7,1.3,71.4,69.2,-2.2,78.5,Medium,1810
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,False,598.9,591.1,7.8,1.3,71.4,65.1,-6.2,70.8,Medium,1810
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,False,598.9,610.0,-11.1,-1.9,71.4,53.2,-18.1,50.2,High,1810
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,False,598.9,591.9,7.0,1.2,71.4,51.5,-19.8,51.1,High,1810
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,False,598.9,550.3,48.6,8.1,71.4,10.5,-60.9,50.5,High,1810
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Lot's O' Nuts,True,590.6,591.2,-0.6,-0.1,69.4,69.2,-0.3,78.5,Medium,2064
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,False,590.6,591.1,-0.4,-0.1,69.4,65.1,-4.3,70.8,Medium,2064
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,False,590.6,610.0,-19.4,-3.3,69.4,53.2,-16.2,50.2,High,2064
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,False,590.6,591.9,-1.2,-0.2,69.4,51.5,-17.9,51.1,High,2064
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,False,590.6,550.3,40.4,6.8,69.4,10.5,-59.0,50.5,High,2064
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Lot's O' Nuts,True,584.2,591.2,-7.0,-1.2,66.7,69.2,2.5,78.5,Low,1818
